"Panel_Name","Major_Functional_Class"
"TNF-A","Immune cell amplification"
"TNF-A","Immune cell positioning"
"TNF-A","Tissue destruction"
"TNF-A","Tissue construction / repair"
"TNF-A","Bone remodeling"
"VEGF","Resolution"
"VEGF","Tissue construction / repair"
"VEGF","Immune cell amplification"
"VEGF","Immune cell positioning"
"VEGF","Tissue destruction"
"VEGF","Bone remodeling"
"MMP-1","Tissue construction / repair"
"MMP-2","Tissue construction / repair"
"MMP-2","Resolution"
"MMP-2","Immune cell positioning"
"MMP-2","Tissue destruction"
"MMP-2","Immune cell amplification"
"MMP-9","Tissue destruction"
"MMP-9","Immune cell positioning"
"MMP-9","Tissue construction / repair"
"MMP-9","Resolution"
"MMP-9","Immune cell amplification"
"MMP-10","Tissue construction / repair"
"RANKL","Resolution"
"RANKL","Immune cell amplification"
"RANKL","Immune cell positioning"
"RANKL","Bone remodeling"
"RANKL","Tissue destruction"
"RANKL","Immune cell activation"
"GDF-15","Immune cell positioning"
"GDF-15","Resolution"
"DKK1","Resolution"
"DKK1","Tissue destruction"
"Periostin","Resolution"
"Periostin","Immune cell positioning"
"Periostin","Tissue construction / repair"
"TRAP5","Immune cell activation"
"TRAP5","Resolution"
"TRAP5","Tissue destruction"
"OPG","Tissue destruction"
"OPG","Resolution"
"OPG","Tissue construction / repair"
"YKL40","Tissue destruction"
"YKL40","Immune cell activation"
"YKL40","Tissue construction / repair"
